yearweek,week_dt,iso_year,iso_week,year,month,quarter
201104,2011-01-24,2011,4,2011,1,1
201105,2011-01-31,2011,5,2011,1,1
201106,2011-02-07,2011,6,2011,2,1
201107,2011-02-14,2011,7,2011,2,1
201108,2011-02-21,2011,8,2011,2,1
201109,2011-02-28,2011,9,2011,2,1
201110,2011-03-07,2011,10,2011,3,1
201111,2011-03-14,2011,11,2011,3,1
201112,2011-03-21,2011,12,2011,3,1
201113,2011-03-28,2011,13,2011,3,1
201114,2011-04-04,2011,14,2011,4,2
201115,2011-04-11,2011,15,2011,4,2
201116,2011-04-18,2011,16,2011,4,2
201117,2011-04-25,2011,17,2011,4,2
201118,2011-05-02,2011,18,2011,5,2
201119,2011-05-09,2011,19,2011,5,2
201120,2011-05-16,2011,20,2011,5,2
201121,2011-05-23,2011,21,2011,5,2
201122,2011-05-30,2011,22,2011,5,2
201123,2011-06-06,2011,23,2011,6,2
201124,2011-06-13,2011,24,2011,6,2
201125,2011-06-20,2011,25,2011,6,2
201126,2011-06-27,2011,26,2011,6,2
201127,2011-07-04,2011,27,2011,7,3
201128,2011-07-11,2011,28,2011,7,3
201129,2011-07-18,2011,29,2011,7,3
201130,2011-07-25,2011,30,2011,7,3
201131,2011-08-01,2011,31,2011,8,3
201132,2011-08-08,2011,32,2011,8,3
201133,2011-08-15,2011,33,2011,8,3
201134,2011-08-22,2011,34,2011,8,3
201135,2011-08-29,2011,35,2011,8,3
201136,2011-09-05,2011,36,2011,9,3
201137,2011-09-12,2011,37,2011,9,3
201138,2011-09-19,2011,38,2011,9,3
201139,2011-09-26,2011,39,2011,9,3
201140,2011-10-03,2011,40,2011,10,4
201141,2011-10-10,2011,41,2011,10,4
201142,2011-10-17,2011,42,2011,10,4
201143,2011-10-24,2011,43,2011,10,4
201144,2011-10-31,2011,44,2011,10,4
201145,2011-11-07,2011,45,2011,11,4
201146,2011-11-14,2011,46,2011,11,4
201147,2011-11-21,2011,47,2011,11,4
201148,2011-11-28,2011,48,2011,11,4
201149,2011-12-05,2011,49,2011,12,4
201150,2011-12-12,2011,50,2011,12,4
201151,2011-12-19,2011,51,2011,12,4
201152,2011-12-26,2011,52,2011,12,4
201201,2012-01-02,2012,1,2012,1,1
201202,2012-01-09,2012,2,2012,1,1
201203,2012-01-16,2012,3,2012,1,1
201204,2012-01-23,2012,4,2012,1,1
201205,2012-01-30,2012,5,2012,1,1
201206,2012-02-06,2012,6,2012,2,1
201207,2012-02-13,2012,7,2012,2,1
201208,2012-02-20,2012,8,2012,2,1
201209,2012-02-27,2012,9,2012,2,1
201210,2012-03-05,2012,10,2012,3,1
201211,2012-03-12,2012,11,2012,3,1
201212,2012-03-19,2012,12,2012,3,1
201213,2012-03-26,2012,13,2012,3,1
201214,2012-04-02,2012,14,2012,4,2
201215,2012-04-09,2012,15,2012,4,2
